Ano,Grupo,Quadrilha,Etapa,TotalEtapa
2025,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,1ª ETAPA,176.2
2025,GRUPO DE ACESSO,XÉM NHEM NHÉM,1ª ETAPA,176.9
2025,GRUPO DE ACESSO,SOL DE MARIA,1ª ETAPA,176.9
2025,GRUPO DE ACESSO,TENGO LENGO,1ª ETAPA,175.4
2025,GRUPO DE ACESSO,FURACÃO,1ª ETAPA,172.5
2025,GRUPO DE ACESSO,JUNINA MATULÃO,2ª ETAPA,178.8
2025,GRUPO DE ACESSO,CHINELO DE COURO,2ª ETAPA,179.5
2025,GRUPO DE ACESSO,XIQUE XIQUE,2ª ETAPA,177.7
2025,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,2ª ETAPA,178.7
2025,GRUPO DE ACESSO,FORNALHA,2ª ETAPA,177.4
2025,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,2ª ETAPA,178.4
2025,GRUPO DE ACESSO,XÉM NHEM NHÉM,2ª ETAPA,177.9
2025,GRUPO DE ACESSO,SOL DE MARIA,2ª ETAPA,177.4
2025,GRUPO DE ACESSO,TENGO LENGO,2ª ETAPA,176.6
2025,GRUPO DE ACESSO,JUNINA MATULÃO,3ª ETAPA,179.5
2025,GRUPO DE ACESSO,CHINELO DE COURO,3ª ETAPA,177.6
2025,GRUPO DE ACESSO,XIQUE XIQUE,3ª ETAPA,179.6
2025,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,3ª ETAPA,176.5
2025,GRUPO DE ACESSO,FORNALHA,3ª ETAPA,177.4
2025,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,3ª ETAPA,177.2
2025,GRUPO DE ACESSO,XÉM NHEM NHÉM,3ª ETAPA,176.2
2025,GRUPO DE ACESSO,SOL DE MARIA,3ª ETAPA,174.6
2025,GRUPO DE ACESSO,TENGO LENGO,3ª ETAPA,174.7
2025,GRUPO DE ACESSO,FURACÃO,3ª ETAPA,172.9
2022,GRUPO ESPECIAL,SI BOBIÁ A GENTE PIMBA,1ª ETAPA,179.5
2022,GRUPO ESPECIAL,FORMIGA DA ROÇA,1ª ETAPA,179.4
2022,GRUPO ESPECIAL,PAIXÃO CANGAÇO,1ª ETAPA,178.5
2022,GRUPO ESPECIAL,ARROXA O NÓ,1ª ETAPA,178.4
2022,GRUPO ESPECIAL,SABUGO DE MILHO,1ª ETAPA,177.20000000000002
2022,GRUPO ESPECIAL,RASGA O FOLE,1ª ETAPA,177.1
2022,GRUPO ESPECIAL,RIBULIÇO,1ª ETAPA,177.20000000000002
2022,GRUPO ESPECIAL,ARRAIÁ DOS MATUTOS,1ª ETAPA,176.3
2022,GRUPO ESPECIAL,AMOR JUNINO,1ª ETAPA,173.8
2022,GRUPO ESPECIAL,SANFONA LASCADA,1ª ETAPA,173.9
2022,GRUPO ESPECIAL,XAMEGAR,1ª ETAPA,172.20000000000002
2022,GRUPO ESPECIAL,XÉM NHEM NHÉM,1ª ETAPA,175.8
2022,GRUPO ESPECIAL,PULA FOGUEIRA,1ª ETAPA,172.9
2022,GRUPO ESPECIAL,XIQUE XIQUE,1ª ETAPA,176.0
2022,GRUPO ESPECIAL,SI BOBIÁ A GENTE PIMBA,2ª ETAPA,179.9
2022,GRUPO ESPECIAL,FORMIGA DA ROÇA,2ª ETAPA,179.9
2022,GRUPO ESPECIAL,PAIXÃO CANGAÇO,2ª ETAPA,178.8
2022,GRUPO ESPECIAL,ARROXA O NÓ,2ª ETAPA,179.8
2022,GRUPO ESPECIAL,SABUGO DE MILHO,2ª ETAPA,178.6
2022,GRUPO ESPECIAL,RASGA O FOLE,2ª ETAPA,178.79999999999998
2022,GRUPO ESPECIAL,RIBULIÇO,2ª ETAPA,178.0
2022,GRUPO ESPECIAL,ARRAIÁ DOS MATUTOS,2ª ETAPA,177.4
2022,GRUPO ESPECIAL,AMOR JUNINO,2ª ETAPA,177.7
2022,GRUPO ESPECIAL,SANFONA LASCADA,2ª ETAPA,177.4
2022,GRUPO ESPECIAL,XAMEGAR,2ª ETAPA,177.8
2022,GRUPO ESPECIAL,XÉM NHEM NHÉM,2ª ETAPA,175.3
2022,GRUPO ESPECIAL,PULA FOGUEIRA,2ª ETAPA,170.5
2022,GRUPO ESPECIAL,XIQUE XIQUE,2ª ETAPA,174.6
2022,GRUPO ESPECIAL,SI BOBIÁ A GENTE PIMBA,3ª ETAPA,179.9
2022,GRUPO ESPECIAL,FORMIGA DA ROÇA,3ª ETAPA,179.8
2022,GRUPO ESPECIAL,PAIXÃO CANGAÇO,3ª ETAPA,179.9
2022,GRUPO ESPECIAL,ARROXA O NÓ,3ª ETAPA,178.6
2022,GRUPO ESPECIAL,SABUGO DE MILHO,3ª ETAPA,179.8
2022,GRUPO ESPECIAL,RASGA O FOLE,3ª ETAPA,178.6
2022,GRUPO ESPECIAL,RIBULIÇO,3ª ETAPA,178.6
2022,GRUPO ESPECIAL,ARRAIÁ DOS MATUTOS,3ª ETAPA,178.9
2022,GRUPO ESPECIAL,AMOR JUNINO,3ª ETAPA,179.4
2022,GRUPO ESPECIAL,SANFONA LASCADA,3ª ETAPA,179.4
2022,GRUPO ESPECIAL,XAMEGAR,3ª ETAPA,178.8
2022,GRUPO ESPECIAL,XÉM NHEM NHÉM,3ª ETAPA,179.0
2022,GRUPO ESPECIAL,PULA FOGUEIRA,3ª ETAPA,177.2
2022,GRUPO ESPECIAL,XIQUE XIQUE,3ª ETAPA,179.5
2022,GRUPO ESPECIAL,SI BOBIÁ A GENTE PIMBA,4ª ETAPA,180.0
2022,GRUPO ESPECIAL,FORMIGA DA ROÇA,4ª ETAPA,179.9
2022,GRUPO ESPECIAL,PAIXÃO CANGAÇO,4ª ETAPA,180.0
2022,GRUPO ESPECIAL,ARROXA O NÓ,4ª ETAPA,179.7
2022,GRUPO ESPECIAL,SABUGO DE MILHO,4ª ETAPA,179.9
2022,GRUPO ESPECIAL,RASGA O FOLE,4ª ETAPA,178.8
2022,GRUPO ESPECIAL,RIBULIÇO,4ª ETAPA,179.2
2022,GRUPO ESPECIAL,ARRAIÁ DOS MATUTOS,4ª ETAPA,179.0
2022,GRUPO ESPECIAL,AMOR JUNINO,4ª ETAPA,179.8
2022,GRUPO ESPECIAL,SANFONA LASCADA,4ª ETAPA,179.1
2022,GRUPO ESPECIAL,XAMEGAR,4ª ETAPA,179.7
2022,GRUPO ESPECIAL,XÉM NHEM NHÉM,4ª ETAPA,176.6
2022,GRUPO ESPECIAL,PULA FOGUEIRA,4ª ETAPA,178.2
2023,GRUPO ESPECIAL,FORMIGA DA ROÇA,1ª ETAPA,179.4
2023,GRUPO ESPECIAL,ARROXA O NÓ,1ª ETAPA,178.4
2023,GRUPO ESPECIAL,RIBULIÇO,1ª ETAPA,178.9
2023,GRUPO ESPECIAL,SANFONA LASCADA,1ª ETAPA,178.3
2023,GRUPO ESPECIAL,ARRAIÁ DOS MATUTOS,1ª ETAPA,177.60000000000002
2023,GRUPO ESPECIAL,RASGA O FOLE,1ª ETAPA,177.3
2023,GRUPO ESPECIAL,AMOR JUNINO,1ª ETAPA,176.4
2023,GRUPO ESPECIAL,EITA BAGACEIRA,1ª ETAPA,177.4
2023,GRUPO ESPECIAL,XAMEGAR,1ª ETAPA,178.10000000000002
2023,GRUPO ESPECIAL,COISAS DA ROÇA,1ª ETAPA,175.7
2023,GRUPO ESPECIAL,XÉM NHEM NHÉM,1ª ETAPA,177.8
2023,GRUPO ESPECIAL,PINGA EM MIM,1ª ETAPA,176.7
2023,GRUPO ESPECIAL,CHINELO DE COURO,1ª ETAPA,175.39999999999998
2023,GRUPO ESPECIAL,OS CABOCLOS DO SERTÃO,1ª ETAPA,175.20000000000002
2023,GRUPO ESPECIAL,MATINGUEIROS DO SERTÃO,1ª ETAPA,175.7
2023,GRUPO ESPECIAL,FORMIGA DA ROÇA,2ª ETAPA,179.9
2023,GRUPO ESPECIAL,ARROXA O NÓ,2ª ETAPA,179.8
2023,GRUPO ESPECIAL,RIBULIÇO,2ª ETAPA,179.0
2023,GRUPO ESPECIAL,SANFONA LASCADA,2ª ETAPA,177.4
2023,GRUPO ESPECIAL,ARRAIÁ DOS MATUTOS,2ª ETAPA,179.1
2023,GRUPO ESPECIAL,RASGA O FOLE,2ª ETAPA,178.6
2023,GRUPO ESPECIAL,AMOR JUNINO,2ª ETAPA,179.6
2023,GRUPO ESPECIAL,EITA BAGACEIRA,2ª ETAPA,178.5
2023,GRUPO ESPECIAL,XAMEGAR,2ª ETAPA,177.3
2023,GRUPO ESPECIAL,COISAS DA ROÇA,2ª ETAPA,178.1
2023,GRUPO ESPECIAL,XÉM NHEM NHÉM,2ª ETAPA,177.2
2023,GRUPO ESPECIAL,PINGA EM MIM,2ª ETAPA,178.3
2023,GRUPO ESPECIAL,CHINELO DE COURO,2ª ETAPA,176.9
2023,GRUPO ESPECIAL,OS CABOCLOS DO SERTÃO,2ª ETAPA,176.3
2023,GRUPO ESPECIAL,MATINGUEIROS DO SERTÃO,2ª ETAPA,175.7
2023,GRUPO ESPECIAL,FORMIGA DA ROÇA,3ª ETAPA,179.6
2023,GRUPO ESPECIAL,ARROXA O NÓ,3ª ETAPA,180.0
2023,GRUPO ESPECIAL,RIBULIÇO,3ª ETAPA,179.2
2023,GRUPO ESPECIAL,SANFONA LASCADA,3ª ETAPA,179.6
