Ano,Grupo,Quadrilha,Etapa,Quesito,NotaQuesitoEtapa
2023,GRUPO DE ACESSO,OXENTE VIXE,1ª ETAPA,COREOGRAFIA,47.5
2023,GRUPO DE ACESSO,MALA VÉIA,1ª ETAPA,MARCAÇÃO,50.0
2023,GRUPO DE ACESSO,CAIPIRADA,1ª ETAPA,MARCAÇÃO,49.5
2023,GRUPO DE ACESSO,XIQUE XIQUE,1ª ETAPA,MARCAÇÃO,48.7
2023,GRUPO DE ACESSO,FORNALHA,1ª ETAPA,MARCAÇÃO,49.7
2023,GRUPO DE ACESSO,VAI MAS NÃO VAI,1ª ETAPA,MARCAÇÃO,47.900000000000006
2023,GRUPO DE ACESSO,TICO TICO NO FUBÁ,1ª ETAPA,MARCAÇÃO,49.2
2023,GRUPO DE ACESSO,OXENTE VIXE,1ª ETAPA,MARCAÇÃO,48.599999999999994
2023,GRUPO DE ACESSO,MALA VÉIA,1ª ETAPA,ANIMAÇÃO,49.699999999999996
2023,GRUPO DE ACESSO,CAIPIRADA,1ª ETAPA,ANIMAÇÃO,49.7
2023,GRUPO DE ACESSO,XIQUE XIQUE,1ª ETAPA,ANIMAÇÃO,49.5
2023,GRUPO DE ACESSO,FORNALHA,1ª ETAPA,ANIMAÇÃO,49.3
2023,GRUPO DE ACESSO,VAI MAS NÃO VAI,1ª ETAPA,ANIMAÇÃO,48.10000000000001
2023,GRUPO DE ACESSO,TICO TICO NO FUBÁ,1ª ETAPA,ANIMAÇÃO,50.0
2023,GRUPO DE ACESSO,OXENTE VIXE,1ª ETAPA,ANIMAÇÃO,49.0
2023,GRUPO DE ACESSO,CAIPIRADA,1ª ETAPA,FIGURINO,49.7
2023,GRUPO DE ACESSO,MALA VÉIA,1ª ETAPA,FIGURINO,49.8
2023,GRUPO DE ACESSO,FORNALHA,1ª ETAPA,FIGURINO,49.8
2023,GRUPO DE ACESSO,XIQUE XIQUE,1ª ETAPA,FIGURINO,49.5
2023,GRUPO DE ACESSO,VAI MAS NÃO VAI,1ª ETAPA,FIGURINO,49.2
2023,GRUPO DE ACESSO,TICO TICO NO FUBÁ,1ª ETAPA,FIGURINO,49.300000000000004
2023,GRUPO DE ACESSO,OXENTE VIXE,1ª ETAPA,FIGURINO,48.800000000000004
2023,GRUPO DE ACESSO,MALA VÉIA,1ª ETAPA,CASAL DE NOIVOS,50.0
2023,GRUPO DE ACESSO,CAIPIRADA,1ª ETAPA,CASAL DE NOIVOS,49.7
2023,GRUPO DE ACESSO,XIQUE XIQUE,1ª ETAPA,CASAL DE NOIVOS,49.400000000000006
2023,GRUPO DE ACESSO,FORNALHA,1ª ETAPA,CASAL DE NOIVOS,49.4
2023,GRUPO DE ACESSO,VAI MAS NÃO VAI,1ª ETAPA,CASAL DE NOIVOS,47.900000000000006
2023,GRUPO DE ACESSO,TICO TICO NO FUBÁ,1ª ETAPA,CASAL DE NOIVOS,49.1
2023,GRUPO DE ACESSO,OXENTE VIXE,1ª ETAPA,CASAL DE NOIVOS,48.400000000000006
2023,GRUPO DE ACESSO,CAIPIRADA,1ª ETAPA,TRILHA,50.0
2023,GRUPO DE ACESSO,XIQUE XIQUE,1ª ETAPA,TRILHA,49.6
2023,GRUPO DE ACESSO,FORNALHA,1ª ETAPA,TRILHA,49.5
2023,GRUPO DE ACESSO,VAI MAS NÃO VAI,1ª ETAPA,TRILHA,49.5
2023,GRUPO DE ACESSO,TICO TICO NO FUBÁ,1ª ETAPA,TRILHA,49.9
2023,GRUPO DE ACESSO,OXENTE VIXE,1ª ETAPA,TRILHA,50.0
2024,GRUPO DE ACESSO,VAI MAS NÃO VAI,1ª ETAPA,COREOGRAFIA,48.7
2024,GRUPO DE ACESSO,TICO TICO NO FUBÁ,1ª ETAPA,COREOGRAFIA,47.0
2024,GRUPO DE ACESSO,ESPALHA BRASA,1ª ETAPA,COREOGRAFIA,47.3
2024,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,1ª ETAPA,COREOGRAFIA,47.5
2024,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,1ª ETAPA,COREOGRAFIA,47.6
2024,GRUPO DE ACESSO,CHINELO DE COURO,1ª ETAPA,COREOGRAFIA,49.2
2024,GRUPO DE ACESSO,BAMBOLEÁ,1ª ETAPA,COREOGRAFIA,46.7
2024,GRUPO DE ACESSO,VAI MAS NÃO VAI,1ª ETAPA,MARCAÇÃO,49.0
2024,GRUPO DE ACESSO,TICO TICO NO FUBÁ,1ª ETAPA,MARCAÇÃO,48.2
2024,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,1ª ETAPA,MARCAÇÃO,48.7
2024,GRUPO DE ACESSO,ESPALHA BRASA,1ª ETAPA,MARCAÇÃO,48.400000000000006
2024,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,1ª ETAPA,MARCAÇÃO,46.4
2024,GRUPO DE ACESSO,CHINELO DE COURO,1ª ETAPA,MARCAÇÃO,49.4
2024,GRUPO DE ACESSO,BAMBOLEÁ,1ª ETAPA,MARCAÇÃO,47.2
2024,GRUPO DE ACESSO,VAI MAS NÃO VAI,1ª ETAPA,ANIMAÇÃO,49.4
2024,GRUPO DE ACESSO,TICO TICO NO FUBÁ,1ª ETAPA,ANIMAÇÃO,47.900000000000006
2024,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,1ª ETAPA,ANIMAÇÃO,48.1
2024,GRUPO DE ACESSO,ESPALHA BRASA,1ª ETAPA,ANIMAÇÃO,47.9
2024,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,1ª ETAPA,ANIMAÇÃO,47.400000000000006
2024,GRUPO DE ACESSO,CHINELO DE COURO,1ª ETAPA,ANIMAÇÃO,49.699999999999996
2024,GRUPO DE ACESSO,BAMBOLEÁ,1ª ETAPA,ANIMAÇÃO,47.5
2024,GRUPO DE ACESSO,VAI MAS NÃO VAI,1ª ETAPA,FIGURINO,49.400000000000006
2024,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,1ª ETAPA,FIGURINO,49.3
2024,GRUPO DE ACESSO,TICO TICO NO FUBÁ,1ª ETAPA,FIGURINO,48.3
2024,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,1ª ETAPA,FIGURINO,49.0
2024,GRUPO DE ACESSO,ESPALHA BRASA,1ª ETAPA,FIGURINO,47.400000000000006
2024,GRUPO DE ACESSO,CHINELO DE COURO,1ª ETAPA,FIGURINO,50.0
2024,GRUPO DE ACESSO,BAMBOLEÁ,1ª ETAPA,FIGURINO,47.10000000000001
2024,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,1ª ETAPA,CASAL DE NOIVOS,49.2
2024,GRUPO DE ACESSO,VAI MAS NÃO VAI,1ª ETAPA,CASAL DE NOIVOS,48.6
2024,GRUPO DE ACESSO,TICO TICO NO FUBÁ,1ª ETAPA,CASAL DE NOIVOS,47.199999999999996
2024,GRUPO DE ACESSO,ESPALHA BRASA,1ª ETAPA,CASAL DE NOIVOS,47.8
2024,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,1ª ETAPA,CASAL DE NOIVOS,47.9
2024,GRUPO DE ACESSO,CHINELO DE COURO,1ª ETAPA,CASAL DE NOIVOS,49.5
2024,GRUPO DE ACESSO,BAMBOLEÁ,1ª ETAPA,CASAL DE NOIVOS,47.1
2024,GRUPO DE ACESSO,VAI MAS NÃO VAI,1ª ETAPA,TRILHA,48.7
2024,GRUPO DE ACESSO,TICO TICO NO FUBÁ,1ª ETAPA,TRILHA,48.599999999999994
2024,GRUPO DE ACESSO,ESPALHA BRASA,1ª ETAPA,TRILHA,48.3
2024,GRUPO DE ACESSO,MATINGUEIROS DO SERTÃO,1ª ETAPA,TRILHA,48.3
2024,GRUPO DE ACESSO,OS CABOCLOS DO SERTÃO,1ª ETAPA,TRILHA,46.400000000000006
